,PostalCode,Subdistricts,Regency,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
34,10640,CEMPAKA BARU,JAKARTA PUSAT,Coffee Shop,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,2
35,10640,HARAPAN MULYA,JAKARTA PUSAT,Coffee Shop,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,2
36,10640,SUMUR BATU,JAKARTA PUSAT,Coffee Shop,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,2
76,11510,DURI KEPA,JAKARTA BARAT,Food Truck,Coffee Shop,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,2
95,11810,KAMAL,JAKARTA BARAT,Coffee Shop,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,2
123,12430,CILANDAK BARAT,JAKARTA SELATAN,Soup Place,Coffee Shop,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,2
144,12760,DUREN TIGA,JAKARTA SELATAN,Sushi Restaurant,Coffee Shop,Wine Bar,Café,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,2
161,12950,KUNINGAN TIMUR,JAKARTA SELATAN,Coffee Shop,Wine Bar,Restaurant,Food Truck,Vietnamese Restaurant,Indian Restaurant,Italian Restaurant,Japanese Restaurant,Food Court,Betawinese Restaurant,2
177,13260,PULO GADUNG,JAKARTA TIMUR,Coffee Shop,Wine Bar,Chinese Restaurant,Food Court,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,2
183,13410,CIPINANG BESAR SELATAN,JAKARTA TIMUR,Coffee Shop,Café,Food Court,Asian Restaurant,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,2
184,13410,CIPINANG BESAR UTARA,JAKARTA TIMUR,Coffee Shop,Café,Food Court,Asian Restaurant,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,2
187,13440,DUREN SAWIT,JAKARTA TIMUR,Indonesian Meatball Place,Coffee Shop,Wine Bar,Chinese Restaurant,Fast Food Restaurant,Dumpling Restaurant,Donut Shop,Dim Sum Restaurant,Dessert Shop,Cupcake Shop,2
