,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,VenueID,Venue,Venue Latitude,Venue Longitude,Venue CatID,Venue Category,Venue Score
1500,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4e4bc88e7d8b6016b18c867b,Bakmi Ratu Dahlia,-6.168660579834284,106.76758401092135,4bf58dd8d48988d1d1941735,Noodle House,6.1
1501,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,508cf982e4b09898c825e784,Hawker Kopitiam,-6.169861707372872,106.76666463263358,4bf58dd8d48988d1e0931735,Coffee Shop,6.1
1502,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4b5ea89bf964a5202e9529e3,McDonald's,-6.165683798127193,106.76305572679036,4bf58dd8d48988d16e941735,Fast Food Restaurant,6.5
1503,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4d5be4e1e7f754815c501497,Nasi Goreng Gila,-6.169746184725574,106.76742880979262,4bf58dd8d48988d1cb941735,Food Truck,6.0
1504,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,51b0324a498ecd61edb07953,MOR,-6.166043853413752,106.76454123894835,4d954b0ea243a5684a65b473,Convenience Store,6.1
1505,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4d97221d97d06ea8b55e130b,Gandy Steak House,-6.165815281423332,106.76301918999077,4bf58dd8d48988d1cc941735,Steakhouse,6.2
1506,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4d3d52aa8edf3704fe7cb8a5,Inul Vizta,-6.16939882883488,106.76499107590848,4bf58dd8d48988d120941735,Karaoke Bar,5.8
1507,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4fff3fcde4b03461217c0a0d,Indomaret,-6.172241999246643,106.76852321996915,4d954b0ea243a5684a65b473,Convenience Store,6.2
1508,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,510cf341e4b0faae2f9ccea4,Raizo Sushi Bar & Rooftop,-6.167188096006922,106.76497103814502,4bf58dd8d48988d111941735,Japanese Restaurant,5.6
1509,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4c69dadf3bad2d7f9c11b1ee,Nasi Tim Pasar Pagi Muara Karang,-6.1695263233176645,106.7691171169281,4bf58dd8d48988d145941735,Chinese Restaurant,5.7
1510,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,56092984498e043e7e8209e2,Chop Chop Resto,-6.169714039287888,106.76889186460544,4bf58dd8d48988d142941735,Asian Restaurant,0.0
1511,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4bbe1874f57ba5934eedaeb9,Bubur Bun Ong,-6.166653330917893,106.76323777015673,4bf58dd8d48988d1f5931735,Dim Sum Restaurant,5.6
1512,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,53536785498ea0a1b83292a6,AYAM PRESTO Ny.Nita,-6.16976665875857,106.77001157681747,4d4ae6fc7a7b7dea34424761,Fried Chicken Joint,5.7
1513,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4e19452662e12640d87e1342,Bakmi Permata,-6.1661869973336625,106.76319800805666,4bf58dd8d48988d1d1941735,Noodle House,5.6
1514,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4f3c6887e4b08f6e57c8ce5d,Providentia School Canteen,-6.1646798554262245,106.7676016110426,4bf58dd8d48988d120951735,Food Court,0.0
1515,WIJAYA KUSUMA,-6.16840361625964,106.766187846985,4e4bbb49d22d8354d6f04073,Pasar Kedoya,-6.16408663880372,106.76500672637728,4bf58dd8d48988d1f7941735,Flea Market,0.0
