,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,VenueID,Venue,Venue Latitude,Venue Longitude,Venue CatID,Venue Category,Venue Score
1000,PINANGSIA,-6.13587558181818,106.813454563636,4e16607881dcdf54e7f860c5,A&W,-6.137909290652332,106.81476831436157,4bf58dd8d48988d16e941735,Fast Food Restaurant,5.6
1001,PINANGSIA,-6.13587558181818,106.813454563636,4ba6f3ddf964a520907939e3,Toshiba Service Center,-6.133728616861624,106.80980105260824,4bf58dd8d48988d122951735,Electronics Store,0.0
1002,GLODOK,-6.14471436944733,106.811672819841,4dfc3866227185f38b943c19,Bakmie Loncat  ba*lont,-6.143433,106.81316,4bf58dd8d48988d1d1941735,Noodle House,7.9
1003,GLODOK,-6.14471436944733,106.811672819841,4d46b2121ed56dcb8726c854,Bakmi Aheng Kemurniaan,-6.145609655464754,106.81267495829799,4bf58dd8d48988d145941735,Chinese Restaurant,7.6
1004,GLODOK,-6.14471436944733,106.811672819841,56d11a02498ea69d398cf648,Pantjoran Tea House,-6.142463273763752,106.81469230587861,4bf58dd8d48988d1dc931735,Tea Room,8.6
1005,GLODOK,-6.14471436944733,106.811672819841,4be89be6c5220f47fdfaa9ca,Bakmi Akwet,-6.143014,106.811806,4bf58dd8d48988d1d1941735,Noodle House,7.4
1006,GLODOK,-6.14471436944733,106.811672819841,53deea8b498e7218e932fdce,The Packer Lodge,-6.146129590484352,106.81505440015165,4bf58dd8d48988d1ee931735,Hostel,8.2
1007,GLODOK,-6.14471436944733,106.811672819841,4ca2d639750ca0931de81367,Kuo Tieh Santong 68,-6.141242697529374,106.81269037527461,4bf58dd8d48988d108941735,Dumpling Restaurant,8.1
1008,GLODOK,-6.14471436944733,106.811672819841,4bd24d5ba8b3a5938fb2675f,Kopi Es Tak Kie,-6.141266595043537,106.81359320891191,4bf58dd8d48988d1e0931735,Coffee Shop,8.3
1009,GLODOK,-6.14471436944733,106.811672819841,4fb5b7eae4b06b6245277f09,Bakmie Ahong,-6.142949407192351,106.8105583803916,4bf58dd8d48988d1d1941735,Noodle House,7.3
1010,GLODOK,-6.14471436944733,106.811672819841,4bb5fdc646d4a5937687c5c0,Little Sheep Chinese Shabu Shabu,-6.14779088928196,106.81455058395606,4bf58dd8d48988d145941735,Chinese Restaurant,8.2
1011,GLODOK,-6.14471436944733,106.811672819841,4befdb9f70779521614b3e7c,Sekolah Ricci I,-6.143466205243485,106.8120935653401,4bf58dd8d48988d13b941735,School,7.0
1012,GLODOK,-6.14471436944733,106.811672819841,4d99d984942ba0935564a48c,Nasi goreng tek2 agus,-6.145558,106.812355,4bf58dd8d48988d1cb941735,Food Truck,7.0
1013,GLODOK,-6.14471436944733,106.811672819841,4bfa52288d30d13a9d650318,Foodcourt Chandra,-6.141962625964543,106.81236162687826,4bf58dd8d48988d120951735,Food Court,7.2
1014,GLODOK,-6.14471436944733,106.811672819841,4cab30a45a1e952176e68dce,Warteg Gang Mangga,-6.146272056179781,106.81473965696985,4deefc054765f83613cdba6f,Indonesian Restaurant,7.3
1015,GLODOK,-6.14471436944733,106.811672819841,4be105a6ea6e20a1dcf09267,Bakmie Gang Mangga (Doyok),-6.1460794793787485,106.8145039935721,4bf58dd8d48988d1d1941735,Noodle House,7.1
1016,GLODOK,-6.14471436944733,106.811672819841,4b9ef6dbf964a520360d37e3,Petak Sembilan,-6.141910645001793,106.81370096585898,4bf58dd8d48988d1ff941735,Miscellaneous Shop,7.1
1017,GLODOK,-6.14471436944733,106.811672819841,4f8d8292e4b08f9379b14674,Kwetiau Sapi 'AKHIANG 79',-6.14590368662884,106.81575876853842,4bf58dd8d48988d142941735,Asian Restaurant,7.3
1018,GLODOK,-6.14471436944733,106.811672819841,4db2854aec8e39a18856a8cd,Pancoran,-6.141466837305854,106.8126669703618,4bf58dd8d48988d1f6941735,Department Store,7.0
1019,GLODOK,-6.14471436944733,106.811672819841,4d8f0f77d265236ad24d1817,Diamond club and karaoke,-6.146504057740225,106.81551302199634,4bf58dd8d48988d120941735,Karaoke Bar,7.2
1020,GLODOK,-6.14471436944733,106.811672819841,4c01cdd3cebfef3b7a4e97fd,Bakmi Amoy,-6.14137221720067,106.81362347591816,4bf58dd8d48988d145941735,Chinese Restaurant,7.0
1021,GLODOK,-6.14471436944733,106.811672819841,4c9dc9a0542b224bf967ed9f,Pempek EIRIN 10 ULU,-6.140681925714828,106.81202107657192,4bf58dd8d48988d1d0941735,Dessert Shop,6.9
1022,GLODOK,-6.14471436944733,106.811672819841,4c9ab932db10b60c1d7b956d,Asemka Pusat Perdagangan,-6.140469788628699,106.81184579112796,4bf58dd8d48988d102951735,Accessories Store,7.0
1023,GLODOK,-6.14471436944733,106.811672819841,52f70a8d11d2bdab77b62b51,Lao Hoe,-6.1420980192498345,106.81295503063323,4deefc054765f83613cdba6f,Indonesian Restaurant,6.5
1024,GLODOK,-6.14471436944733,106.811672819841,50bc8199e4b01dc9b236c4cd,Nasi Ayam Hainam APOLLO,-6.144212309966612,106.81526799852301,4bf58dd8d48988d145941735,Chinese Restaurant,6.5
1025,GLODOK,-6.14471436944733,106.811672819841,4ed08468e5faa5ec02f6a111,Bubur Singkawang Akhun,-6.148014124291497,106.81090404952575,4bf58dd8d48988d142941735,Asian Restaurant,0.0
1026,KEAGUNGAN,-6.1506835,106.816081125,4b5dba9ff964a520cf6829e3,Bakso Akiaw 99,-6.14981266381681,106.81761118048166,4bf58dd8d48988d1d1941735,Noodle House,8.5
1027,KEAGUNGAN,-6.1506835,106.816081125,4bf7d284508c0f477a063e31,Suisse Bakery,-6.150889534106983,106.81716201131093,4bf58dd8d48988d16a941735,Bakery,8.5
1028,KEAGUNGAN,-6.1506835,106.816081125,55856536498ee5700fa22f57,Hotel Santika Premiere Hayam Wuruk Jakarta,-6.149321315548054,106.81730194168522,4bf58dd8d48988d1fa931735,Hotel,8.3
1029,KEAGUNGAN,-6.1506835,106.816081125,5014db82e4b0e28d9988c989,Grand Lucky SuperStore,-6.151607474141219,106.81685540295115,52f2ab2ebcbc57f1066b8b46,Supermarket,8.2
1030,KEAGUNGAN,-6.1506835,106.816081125,4c50df80bd0995218ddf585e,Starbucks,-6.152058994305883,106.81736228790477,4bf58dd8d48988d1e0931735,Coffee Shop,8.2
1031,KEAGUNGAN,-6.1506835,106.816081125,4f251e3ae4b012e02fd740c0,Sinar Lestari,-6.148956155279519,106.816760708017,4bf58dd8d48988d145941735,Chinese Restaurant,8.1
1032,KEAGUNGAN,-6.1506835,106.816081125,4e674132aeb7e985aaa54d6c,Ratna Ballet School,-6.1511974,106.81651,4bf58dd8d48988d134941735,Dance Studio,8.0
1033,KEAGUNGAN,-6.1506835,106.816081125,544ce3eb498e876372a02d82,SONG FA bak kut teh 肉骨苶,-6.147667308842061,106.816358065016,4bf58dd8d48988d142941735,Asian Restaurant,8.9
1034,KEAGUNGAN,-6.1506835,106.816081125,4c31d77066e40f47e685c58b,RM Sinar Lestari,-6.149074753407857,106.81685540295115,4bf58dd8d48988d145941735,Chinese Restaurant,7.6
1035,KEAGUNGAN,-6.1506835,106.816081125,4cbd31354352a1cd496da2f5,Imperial Chef,-6.147684462787572,106.81648921659192,4bf58dd8d48988d145941735,Chinese Restaurant,8.2
1036,KEAGUNGAN,-6.1506835,106.816081125,4c0cf9223561ef3b5e8dda2d,Henis,-6.149795335862209,106.81786005826292,4bf58dd8d48988d16a941735,Bakery,7.6
1037,KEAGUNGAN,-6.1506835,106.816081125,4e259a89d164b6b74afc539a,ILLIGALS Hotel & Club,-6.151878236609397,106.81789820225508,4bf58dd8d48988d1d5941735,Hotel Bar,7.7
