,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,VenueID,Venue,Venue Latitude,Venue Longitude,Venue CatID,Venue Category,Venue Score
3500,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4b9b63abf964a520520436e3,Velodrome Rawamangun,-6.191521717115192,106.88987446671214,4bf58dd8d48988d187941735,Track Stadium,5.8
3501,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4cca8dddb8c8224b129916ba,OB Kitchen,-6.193149640847071,106.89133831401615,4bf58dd8d48988d16d941735,Café,0.0
3502,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4be6ee81d4f7c9b6a9362720,Nasi Goreng Cirebon,-6.195336164806127,106.89092885936948,4deefc054765f83613cdba6f,Indonesian Restaurant,5.7
3503,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4e65b8f152b1260c1484550b,Es Teler 77,-6.1937441347336435,106.89029320445843,4deefc054765f83613cdba6f,Indonesian Restaurant,5.6
3504,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4c41890aa48d9c74739d0c40,Nasi Goreng & Mie Goreng Cirebon Rawamangun,-6.195398228346822,106.89105591754843,4bf58dd8d48988d1cb941735,Food Truck,5.6
3505,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4fcafe21e4b01f9ce3a52872,Hop Hop Arion,-6.194344623140066,106.89003583524764,4bf58dd8d48988d1c9941735,Ice Cream Shop,0.0
3506,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4cfa3268e6f48eec4d8e83a4,Bakmi Tasik,-6.196645231948173,106.8913755710603,4bf58dd8d48988d1d1941735,Noodle House,5.7
3507,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4cf9f1247945224b593e7de7,Mie Ayam Langgeng,-6.196192157218012,106.89121376497542,4bf58dd8d48988d1d1941735,Noodle House,5.6
3508,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4bd29a0e77b29c74a5268f82,Cibiuk Resto,-6.19365647554927,106.89577267205557,4bf58dd8d48988d142941735,Asian Restaurant,5.6
3509,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4d6c741cf3008eec2b466ed1,Taman Arion Jakarta,-6.189358080826211,106.89116541817828,4bf58dd8d48988d15a941735,Garden,5.5
3510,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4dd13bb052b1f8915bd8e1f7,"Tahu Campur, Telur, Thek Thek Rawamangun",-6.19604694918579,106.89164952685302,4bf58dd8d48988d1cb941735,Food Truck,0.0
3511,JATINEGARA KAUM,-6.19261200259672,106.892226515377,4bfbdbf0f80bc9b698083078,Mie Bakso Kocok Bandung,-6.19658536623201,106.89133773770429,52960eda3cf9994f4e043acc,Indonesian Meatball Place,5.6
3512,PULO GADUNG,-6.2190104,106.8804074,50792444e4b01b4179de0c45,Alfriandra Wedding Souvenir,-6.217807508217189,106.88174279241349,4bf58dd8d48988d128951735,Gift Shop,7.6
3513,PULO GADUNG,-6.2190104,106.8804074,4d25d44fbcc1224ba439941b,Starbucks (Cipinang),-6.219253152402,106.87808910799437,4bf58dd8d48988d1e0931735,Coffee Shop,7.2
3514,BALI MESTER,-6.22007456468135,106.870429683391,4cf24f3f7e0da1cdf5d79697,Cafe Zamrud,-6.219320225905451,106.87118259047226,4bf58dd8d48988d142941735,Asian Restaurant,7.2
3515,BALI MESTER,-6.22007456468135,106.870429683391,515ee4c5e4b0443b3573b4e0,Beer House,-6.220599765031125,106.86756312094792,4bf58dd8d48988d116941735,Bar,7.3
3516,BALI MESTER,-6.22007456468135,106.870429683391,4c09d8886071a5938fbbde32,Holland Bakery,-6.2235784331084885,106.86802881132887,4bf58dd8d48988d16a941735,Bakery,7.8
3517,BALI MESTER,-6.22007456468135,106.870429683391,4d4148eb46775481f6555ff4,Pusat Batu dan permata Rawa bening Jatinegara,-6.216151171674131,106.86983138595205,4bf58dd8d48988d111951735,Jewelry Store,7.3
3518,BALI MESTER,-6.22007456468135,106.870429683391,4bf920678d30d13ac1b70118,Seafood 68,-6.2200289274026055,106.86828361047061,4bf58dd8d48988d1ce941735,Seafood Restaurant,6.4
3519,BALI MESTER,-6.22007456468135,106.870429683391,508630fde4b0d578bc08b97f,Rice Bowl,-6.2205596030517905,106.86778611694791,4bf58dd8d48988d145941735,Chinese Restaurant,6.5
3520,BALI MESTER,-6.22007456468135,106.870429683391,4ef6e7cb02d5abdcbb070113,Loving Hut Jatinegara,-6.218453780500594,106.86852081785153,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant,6.3
3521,BALI MESTER,-6.22007456468135,106.870429683391,4cdd3061a1bba35d22b19ee5,Hoka Hoka Bento,-6.218342536668436,106.86749110967001,4bf58dd8d48988d111941735,Japanese Restaurant,6.4
3522,BALI MESTER,-6.22007456468135,106.870429683391,518fa2a5498eb76a750086dd,Gado-Gado Boplo,-6.220605235383878,106.86792209225544,4deefc054765f83613cdba6f,Indonesian Restaurant,6.2
3523,BALI MESTER,-6.22007456468135,106.870429683391,5083e831e4b0361f67328762,Cuppa Coffee Inc.,-6.220564406749756,106.86788100971611,4bf58dd8d48988d1e0931735,Coffee Shop,6.0
3524,BALI MESTER,-6.22007456468135,106.870429683391,50863065e4b083eee2c19c0a,Jatinegara X'tainment,-6.220556770766887,106.86780348032221,4bf58dd8d48988d120951735,Food Court,6.0
3525,BALI MESTER,-6.22007456468135,106.870429683391,502f7af0e4b06a779e1c6249,KFC,-6.220505197639821,106.86788713433411,4bf58dd8d48988d16e941735,Fast Food Restaurant,5.9
3526,BALI MESTER,-6.22007456468135,106.870429683391,5045a168e4b06002d9863d3d,Jakarta Gems Center (JGC),-6.215970851636897,106.86900125367978,4bf58dd8d48988d111951735,Jewelry Store,6.3
3527,BALI MESTER,-6.22007456468135,106.870429683391,4bbd74e3a8cf76b08edfb1fd,KFC,-6.222510559621309,106.86784307598273,4bf58dd8d48988d16e941735,Fast Food Restaurant,5.8
3528,BALI MESTER,-6.22007456468135,106.870429683391,4c53cf7a30f92d7f54a967b9,Ayam Goreng Ibu Haji,-6.216425648102222,106.87058022078365,4d4ae6fc7a7b7dea34424761,Fried Chicken Joint,5.7
3529,BALI MESTER,-6.22007456468135,106.870429683391,4c9dea6246978cfa36ff9b7f,Ayam Goreng Sari Rasa (Mang Kabayan),-6.217506644359221,106.86820024899971,4bf58dd8d48988d1cb941735,Food Truck,5.6
3530,BALI MESTER,-6.22007456468135,106.870429683391,4bf776075ec320a1932587d3,Ayam Goreng Bu Haji,-6.216458107118565,106.8702632739554,4bf58dd8d48988d142941735,Asian Restaurant,5.6
3531,BALI MESTER,-6.22007456468135,106.870429683391,4bab5cccf964a5207aa33ae3,Jakarta Gems Centre,-6.216019877728072,106.86995610150326,4bf58dd8d48988d111951735,Jewelry Store,5.7
3532,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,4c09d8886071a5938fbbde32,Holland Bakery,-6.2235784331084885,106.86802881132887,4bf58dd8d48988d16a941735,Bakery,7.8
3533,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,4e8b0e10b63423c020f6f2ad,Nasi Uduk Hj Nunung,-6.223849,106.867893,4bf58dd8d48988d142941735,Asian Restaurant,7.4
3534,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,4d2ef7c0d9d8a1433b72fed7,Nasi Uduk & Ayam Goreng Kp. Melayu Besar,-6.225196086529479,106.86295014949977,4bf58dd8d48988d1c4941735,Restaurant,8.0
3535,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,515ee4c5e4b0443b3573b4e0,Beer House,-6.220599765031125,106.86756312094792,4bf58dd8d48988d116941735,Bar,7.3
3536,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,4ca42014554b236a9dd62c48,"Pondok Nasi Kebuli ""Ibu Hanna""",-6.225148502762207,106.86249433953544,4bf58dd8d48988d115941735,Middle Eastern Restaurant,7.1
3537,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,4bde6f8589ca76b010965d5e,Pizza Hut,-6.224221998929496,106.86772912562435,4bf58dd8d48988d1ca941735,Pizza Place,6.2
3538,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,50acc149e4b0c29852d559a4,GOR SOEMANTRI,-6.224295696672983,106.86311191809297,4bf58dd8d48988d18b941735,Basketball Stadium,6.6
3539,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,508630fde4b0d578bc08b97f,Rice Bowl,-6.2205596030517905,106.86778611694791,4bf58dd8d48988d145941735,Chinese Restaurant,6.5
3540,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,4c204514b4e62d7f4bf0e093,Honda arista jatinegara,-6.220781417793323,106.86529656890086,4eb1c1623b7b52c0e1adc2ec,Auto Dealership,6.4
3541,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,4cfb1f4fc6cca35d08cf8a32,Kampung Melayu,-6.224916791288544,106.86624673140017,4f2a25ac4b909258e854f55f,Neighborhood,5.8
3542,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,4d61e9dc71f38eec0dab5c21,Indomaret,-6.229017982184174,106.86697512067018,4d954b0ea243a5684a65b473,Convenience Store,6.3
3543,KAMPUNG MELAYU,-6.2247197635407,106.866912458036,4bbd74e3a8cf76b08edfb1fd,KFC,-6.222510559621309,106.86784307598273,4bf58dd8d48988d16e941735,Fast Food Restaurant,5.8
