,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude
53,TAMBORA,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11220,-8.7996802,115.1506101
54,ROA MALAKA,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11230,-8.7996802,115.1506101
55,PEKOJAN,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11240,-6.13507507598205,106.80478204991
56,JEMBATAN LIMA,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11250,-6.14606944717466,106.800514176998
57,KRENDANG,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11260,-6.155848,106.8013272
58,DURI SELATAN,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11270,-8.7996802,115.1506101
59,DURI UTARA,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11270,-8.7996802,115.1506101
60,KALI ANYAR,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11310,-8.7996802,115.1506101
61,JEMBATAN BESI,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11320,-6.15349675,106.796023775
62,ANGKE,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11330,-8.7996802,115.1506101
63,SLIPI,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11410,-8.7996802,115.1506101
64,KOTA BAMBU SELATAN,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11420,-6.18578207518299,106.795179188422
65,KOTA BAMBU UTARA,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11420,-6.18578207518299,106.795179188422
66,JATIPULO,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11430,-6.18204863333333,106.800901316667
67,TOMANG,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11440,-6.17499974658727,106.79998863265
68,GROGOL,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11450,-6.16500771821239,106.792633244873
69,JELAMBAR,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11460,-6.16840361625964,106.766187846985
70,JELAMBAR BARU,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11460,-6.16840361625964,106.766187846985
71,WIJAYA KUSUMA,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11460,-6.16840361625964,106.766187846985
72,TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11470,-6.1781941,106.7913684
73,TANJUNG DUREN UTARA,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11470,-6.1781941,106.7913684
74,KEMANGGISAN,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11480,-6.19654386364847,106.789909767614
75,PALMERAH,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11480,,
76,DURI KEPA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11510,-6.17770919107008,106.772140089201
77,KEDOYA SELATAN,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11520,-6.16733250326392,106.759856521167
78,KEDOYA UTARA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11520,-6.16733250326392,106.759856521167
79,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11530,-6.2007033,106.7722194
80,SUKABUMI UTARA (ILIR),KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11540,-6.20544190684676,106.776357305064
81,KELAPA DUA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11550,-8.7996802,115.1506101
82,SUKABUMI SELATAN (UDIK),KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11560,-6.22403745930302,106.774640179008
83,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11610,-6.18599902799686,106.741757784116
84,KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11610,-6.18599902799686,106.741757784116
85,MERUYA UTARA (ILIR),KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11620,-6.19505508892004,106.748781095178
86,SRENGSENG,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11630,-6.2102485191248,106.757346195351
87,JOGLO,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11640,-6.2212332,106.7501747
88,MERUYA SELATAN (UDIK),KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11650,-6.21395552934394,106.729085431584
89,KEDAUNG KALI ANGKE,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11710,-6.1540878,106.7696687
90,KAPUK,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11720,-6.14189030978006,106.73829591502
91,CENGKARENG BARAT,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11730,-6.14231672848657,106.732832139687
92,CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11730,-6.14231672848657,106.732832139687
93,RAWA BUAYA,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11740,-6.16199139234244,106.736906096314
94,DURI KOSAMBI,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11750,-6.17616952810758,106.717120258392
95,KAMAL,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11810,-6.1253750281743,106.702136575882
96,TEGAL ALUR,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11820,-6.12978434629014,106.717948177474
97,PEGADUNGAN,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11830,-6.14106835,106.694193811051
98,KALIDERES,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11840,-6.15238409486129,106.717856465311
99,SEMANAN,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11850,-8.7996802,115.1506101
100,SELONG,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12110,-6.23257508332282,106.805063168085
101,GUNUNG,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12120,-6.241262125,106.79003435
102,KRAMAT PELA,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12130,-6.2498216,106.7935352
103,GANDARIA UTARA,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12140,-6.2450325,106.7887246
104,CIPETE UTARA,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12150,-6.25243594469999,106.808357387023
105,MELAWAI,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12160,-6.24796932398018,106.803139437411
106,PULO,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12160,-6.24796932398018,106.803139437411
107,PETOGOGAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12170,-6.24549058670567,106.810327502636
108,RAWA BARAT,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12180,-6.2344011,106.817236
109,SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190,-6.22950263272675,106.808531244388
110,GROGOL UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12210,-6.22196648298878,106.783484080398
111,GROGOL SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12220,-6.2321328264429,106.782050749907
112,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12230,-6.238407284928,106.769350530938
