,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude
228,PULO GEBANG,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13950,-6.20313154935856,106.950048757791
229,UJUNG MENTENG,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13960,-8.7996802,115.1506101
230,KALI BARU,CILINCING,JAKARTA UTARA,DKI JAKARTA,14110,-8.7996802,115.1506101
231,CILINCING,CILINCING,JAKARTA UTARA,DKI JAKARTA,14120,-6.10734313947092,106.937009033664
232,SEMPER BARAT,CILINCING,JAKARTA UTARA,DKI JAKARTA,14130,-6.1092778,106.9174728
233,SEMPER TIMUR,CILINCING,JAKARTA UTARA,DKI JAKARTA,14130,-6.1092778,106.9174728
234,ROROTAN,CILINCING,JAKARTA UTARA,DKI JAKARTA,14140,-6.15778577037427,106.94911709476
235,SUKAPURA,CILINCING,JAKARTA UTARA,DKI JAKARTA,14140,-6.15778577037427,106.94911709476
236,MARUNDA,CILINCING,JAKARTA UTARA,DKI JAKARTA,14150,-8.7996802,115.1506101
237,KOJA (UTARA  SELATAN),KOJA,JAKARTA UTARA,DKI JAKARTA,14210,-6.1245207,106.8991968
238,RAWA BADAK SELATAN,KOJA,JAKARTA UTARA,DKI JAKARTA,14230,-6.12889390503809,106.9000470484
239,RAWA BADAK UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,14230,-6.12889390503809,106.9000470484
240,KELAPA GADING BARAT,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14240,-6.17628547817382,106.958650193312
241,KELAPA GADING TIMUR,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14240,-6.17628547817382,106.958650193312
242,PEGANGSAAN DUA,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14250,-6.16773378909766,106.91648336655
243,TUGU SELATAN,KOJA,JAKARTA UTARA,DKI JAKARTA,14260,-6.12839849330422,106.910700779039
244,TUGU UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,14260,-6.12839849330422,106.910700779039
245,LAGOA,KOJA,JAKARTA UTARA,DKI JAKARTA,14270,-6.114828425,106.905037425
246,TANJUNG PRIOK,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14310,-6.11508761492968,106.884517993395
247,KEBON BAWANG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14320,-6.13689939832638,106.888272179177
248,SUNGAI BAMBU,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14330,-8.7996802,115.1506101
249,PAPANGGO,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14340,-6.13411172310151,106.872702746037
250,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350,-6.14009382030808,106.866244702267
251,SUNTER JAYA,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14360,-6.1407273,106.8840361
252,WARAKAS,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14370,-8.7996802,115.1506101
253,PADEMANGAN TIMUR,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14410,-6.13717099102906,106.84529327891
254,PADEMANGAN BARAT,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14420,-6.13761759211072,106.834643901165
255,ANCOL,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14430,-6.12981021324148,106.839169984024
256,PENJARINGAN,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14440,-6.12579741475257,106.790618074438
257,PEJAGALAN,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14450,-6.1397643,106.7931004
258,PLUIT,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14450,-6.1397643,106.7931004
259,KAPUK MUARA,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14460,-6.12018002423687,106.759266894799
260,KAMAL MUARA,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14470,-6.11638847993226,106.753142058026
261,PULAU UNTUNG JAWA,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,14510,-8.7996802,115.1506101
262,PULAU PARI,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,14520,-5.8006074,106.5034195
263,PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,14520,-5.8006074,106.5034195
264,PULAU PANGGANG,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,14530,-8.7996802,115.1506101
265,PULAU HARAPAN,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,14540,-8.7996802,115.1506101
266,PULAU KELAPA,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,14540,-8.7996802,115.1506101
