,id,Subdistricts,District,Regency,Province,PostalCode
69,70,JELAMBAR,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11460
70,71,JELAMBAR BARU,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11460
71,72,WIJAYA KUSUMA,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11460
72,73,TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11470
73,74,TANJUNG DUREN UTARA,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,11470
74,75,KEMANGGISAN,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11480
75,76,PALMERAH,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11480
76,77,DURI KEPA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11510
77,78,KEDOYA SELATAN,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11520
78,79,KEDOYA UTARA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11520
79,80,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11530
80,81,SUKABUMI UTARA (ILIR),KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11540
81,82,KELAPA DUA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11550
82,83,SUKABUMI SELATAN (UDIK),KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11560
83,84,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11610
84,85,KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11610
85,86,MERUYA UTARA (ILIR),KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11620
86,87,SRENGSENG,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11630
87,88,JOGLO,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11640
88,89,MERUYA SELATAN (UDIK),KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11650
89,90,KEDAUNG KALI ANGKE,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11710
90,91,KAPUK,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11720
91,92,CENGKARENG BARAT,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11730
92,93,CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11730
93,94,RAWA BUAYA,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11740
94,95,DURI KOSAMBI,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,11750
95,96,KAMAL,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11810
96,97,TEGAL ALUR,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11820
97,98,PEGADUNGAN,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11830
98,99,KALIDERES,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11840
99,100,SEMANAN,KALIDERES,JAKARTA BARAT,DKI JAKARTA,11850
100,101,SELONG,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12110
101,102,GUNUNG,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12120
102,103,KRAMAT PELA,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12130
103,104,GANDARIA UTARA,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12140
104,105,CIPETE UTARA,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12150
105,106,MELAWAI,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12160
106,107,PULO,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12160
107,108,PETOGOGAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12170
108,109,RAWA BARAT,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12180
109,110,SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190
110,111,GROGOL UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12210
111,112,GROGOL SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12220
112,113,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12230
113,114,KEBAYORAN LAMA SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12240
114,115,KEBAYORAN LAMA UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12240
115,116,ULUJAMI,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12250
116,117,PETUKANGAN UTARA,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12260
117,118,PETUKANGAN SELATAN,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12270
118,119,PONDOK PINANG,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12310
119,120,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12320
120,121,BINTARO,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12330
121,122,CIPETE SELATAN,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12410
122,123,GANDARIA SELATAN,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12420
123,124,CILANDAK BARAT,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12430
124,125,LEBAK BULUS,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12440
125,126,PONDOK LABU,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12450
126,127,PEJATEN BARAT,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12510
127,128,PEJATEN TIMUR,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12510
128,129,KEBAGUSAN,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12520
129,130,PASAR MINGGU,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12520
130,131,TANJUNG BARAT,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12530
131,132,JATI PADANG,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12540
132,133,RAGUNAN,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12550
133,134,CILANDAK TIMUR,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12560
134,135,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12620
135,136,CIGANJUR,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12630
136,137,CIPEDAK,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12630
137,138,LENTENG AGUNG,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12630
138,139,SRENGSENG SAWAH,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,12640
139,140,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710
140,141,PELA MAMPANG,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12720
141,142,BANGKA,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12730
142,143,KALIBATA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12740
143,144,RAWA JATI,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12750
