,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,VenueID,Venue,Venue Latitude,Venue Longitude,Venue CatID,Venue Category,Venue Score
2500,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4bfbf35f5244c9b63385bbeb,Seafood 68,-6.250345881353958,106.78156427925273,4bf58dd8d48988d1ce941735,Seafood Restaurant,7.1
2501,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4c10eb0a81e976b047da0feb,The Harvest - Patissier & Chocolatier,-6.249677778885192,106.78143874510313,4bf58dd8d48988d16a941735,Bakery,7.3
2502,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4bad8abff964a520285a3be3,Kwetiau Akang,-6.249827591282116,106.78137539785442,4bf58dd8d48988d145941735,Chinese Restaurant,7.2
2503,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4bcbd27a511f9521853ab2c7,Samsung Service Center,-6.252593540964858,106.78160825219524,4bf58dd8d48988d125941735,Tech Startup,6.6
2504,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4c50345338b0be9a026a1ffd,Yakoya,-6.2568974561869695,106.7814952690344,4bf58dd8d48988d111941735,Japanese Restaurant,7.0
2505,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,54eef504498eed5faa70420e,SONY Authorized Service Center,-6.254050267910416,106.78173144564221,4bf58dd8d48988d122951735,Electronics Store,6.5
2506,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4bcd9860fb84c9b68330223e,Glodok Elektronik,-6.254688699213192,106.78177104846118,4bf58dd8d48988d112951735,Hardware Store,6.5
2507,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4ea7d5fe29c25150a66a54bb,Erha Derma Center,-6.257435087855765,106.78162146207109,4bf58dd8d48988d104941735,Medical Center,7.0
2508,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4bcf1afefb84c9b65dce243e,Tahu Tek Arteri Pondok Indah,-6.251302414483081,106.7816335187258,4bf58dd8d48988d1cb941735,Food Truck,6.2
2509,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4bf14d33d258d13a2d42f940,Holland Bakery,-6.250460707440842,106.78156439388613,4bf58dd8d48988d16a941735,Bakery,6.2
2510,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4fdd8b57e4b0d33169452ff5,NAV Karaoke,-6.2547892435544155,106.7817157005345,4bf58dd8d48988d120941735,Karaoke Bar,5.8
2511,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4bece6e6bac3c9b60dabfde9,Hoka Hoka Bento,-6.2576540983409465,106.78168769398575,4bf58dd8d48988d111941735,Japanese Restaurant,6.1
2512,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4d8f0a3cca75b60c022a0ca9,Vibe karaoke,-6.254899060416737,106.78173188875803,4bf58dd8d48988d1f1931735,General Entertainment,0.0
2513,KEBAYORAN LAMA SELATAN,-6.25347187194034,106.782911665683,4c32d1e03ffc9521736a90f5,StarMart - Basement 1 Wisma Ericsson,-6.2510006797849895,106.78154711265866,4bf58dd8d48988d118951735,Grocery Store,0.0
2514,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,5363626e498edfa7e27589a9,Tahu Campur & Tahu Tek-Tek Bu Joko,-6.251105170329765,106.78171416441856,52960eda3cf9994f4e043ac7,Javanese Restaurant,8.2
2515,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4c012a48783720a1df2dc62e,RM Padang Garuda,-6.255215801020273,106.78178138505994,52960eda3cf9994f4e043ac5,Padangnese Restaurant,7.6
2516,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4d3bd4096b3d236a57cc5b64,Tarzan Photo Studio,-6.2501791652003,106.78157303449046,4bf58dd8d48988d11a951735,Bridal Shop,7.4
2517,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4bfbf35f5244c9b63385bbeb,Seafood 68,-6.250345881353958,106.78156427925273,4bf58dd8d48988d1ce941735,Seafood Restaurant,7.1
2518,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4c10eb0a81e976b047da0feb,The Harvest - Patissier & Chocolatier,-6.249677778885192,106.78143874510313,4bf58dd8d48988d16a941735,Bakery,7.3
2519,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4bad8abff964a520285a3be3,Kwetiau Akang,-6.249827591282116,106.78137539785442,4bf58dd8d48988d145941735,Chinese Restaurant,7.2
2520,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4bcbd27a511f9521853ab2c7,Samsung Service Center,-6.252593540964858,106.78160825219524,4bf58dd8d48988d125941735,Tech Startup,6.6
2521,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4c50345338b0be9a026a1ffd,Yakoya,-6.2568974561869695,106.7814952690344,4bf58dd8d48988d111941735,Japanese Restaurant,7.0
2522,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,54eef504498eed5faa70420e,SONY Authorized Service Center,-6.254050267910416,106.78173144564221,4bf58dd8d48988d122951735,Electronics Store,6.5
2523,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4bcd9860fb84c9b68330223e,Glodok Elektronik,-6.254688699213192,106.78177104846118,4bf58dd8d48988d112951735,Hardware Store,6.5
2524,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4ea7d5fe29c25150a66a54bb,Erha Derma Center,-6.257435087855765,106.78162146207109,4bf58dd8d48988d104941735,Medical Center,7.0
2525,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4bcf1afefb84c9b65dce243e,Tahu Tek Arteri Pondok Indah,-6.251302414483081,106.7816335187258,4bf58dd8d48988d1cb941735,Food Truck,6.2
2526,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4bf14d33d258d13a2d42f940,Holland Bakery,-6.250460707440842,106.78156439388613,4bf58dd8d48988d16a941735,Bakery,6.2
2527,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4fdd8b57e4b0d33169452ff5,NAV Karaoke,-6.2547892435544155,106.7817157005345,4bf58dd8d48988d120941735,Karaoke Bar,5.8
2528,KEBAYORAN LAMA UTARA,-6.25347187194034,106.782911665683,4bece6e6bac3c9b60dabfde9,Hoka Hoka Bento,-6.2576540983409465,106.78168769398575,4bf58dd8d48988d111941735,Japanese Restaurant,6.1
