,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude,Note
41,MANGGA DUA SELATAN,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,10730,-6.14496227634492,106.828396807098,"10730 Jakarta, Indonesia"
42,KARANG ANYAR,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,10740,-6.15350995,106.8287345,"10740 Jakarta, Indonesia"
43,KARTINI,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,10750,-6.15036562522062,106.852924044984,"10750 Jakarta, Indonesia"
44,PINANGSIA,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11110,-6.13587558181818,106.813454563636,"11110 Jakarta, Indonesia"
45,GLODOK,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11120,-6.14471436944733,106.811672819841,"11120 Jakarta, Indonesia"
46,KEAGUNGAN,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11130,-6.1506835,106.816081125,"11130 Jakarta, Indonesia"
47,KRUKUT,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11140,-6.1561316,106.8185515,"11140 Jakarta, Indonesia"
48,TAMAN SARI,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11150,-6.1475907,106.822562214286,"11150 Jakarta, Indonesia"
49,MAPHAR,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11160,-6.15503822177053,106.821331682916,"11160 Jakarta, Indonesia"
50,TANGKI,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11170,-6.14800676666667,106.824252958333,"11170 Jakarta, Indonesia"
51,MANGGA BESAR,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11180,-6.14758319396536,106.819128301175,"11180 Jakarta, Indonesia"
52,TANAH SEREAL,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11210,-8.7996802,115.1506101,"11210 Jakarta, Indonesia"
53,TAMBORA,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11220,-8.7996802,115.1506101,"11220 Jakarta, Indonesia"
54,ROA MALAKA,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11230,-8.7996802,115.1506101,"11230 Jakarta, Indonesia"
55,PEKOJAN,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11240,-6.13507507598205,106.80478204991,"11240 Jakarta, Indonesia"
56,JEMBATAN LIMA,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11250,-6.14606944717466,106.800514176998,"11250 Jakarta, Indonesia"
57,KRENDANG,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11260,-6.155848,106.8013272,"11260 Jakarta, Indonesia"
58,DURI SELATAN,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11270,-8.7996802,115.1506101,"11270 Jakarta, Indonesia"
59,DURI UTARA,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11270,-8.7996802,115.1506101,"11270 Jakarta, Indonesia"
60,KALI ANYAR,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11310,-8.7996802,115.1506101,"11310 Jakarta, Indonesia"
61,JEMBATAN BESI,TAMBORA,JAKARTA BARAT,DKI JAKARTA,11320,-6.15349675,106.796023775,"11320 Jakarta, Indonesia"
