,Subdistricts,District,Regency,Province,PostalCode,Latitude,Longitude,Note
178,BALI MESTER,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13310,-6.22007456468135,106.870429683391,"13310 Jakarta, Indonesia"
179,KAMPUNG MELAYU,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13320,-6.2247197635407,106.866912458036,"13320 Jakarta, Indonesia"
180,BIDARACINA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13330,-6.2398637,106.8664911,"13330 Jakarta, Indonesia"
181,CIPINANG CEMPEDAK,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13340,-6.24602076683626,106.869519772154,"13340 Jakarta, Indonesia"
182,RAWA BUNGA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13350,-6.21680837773747,106.868907627889,"13350 Jakarta, Indonesia"
183,CIPINANG BESAR SELATAN,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13410,-6.22299381980359,106.876065080293,"13410 Jakarta, Indonesia"
184,CIPINANG BESAR UTARA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13410,-6.22299381980359,106.876065080293,"13410 Jakarta, Indonesia"
185,CIPINANG MUARA,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,13420,-6.2353271885967,106.882427481274,"13420 Jakarta, Indonesia"
186,PONDOK BAMBU,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13430,-6.23896826666667,106.905702433333,"13430 Jakarta, Indonesia"
187,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13440,-6.23425818346542,106.921162502148,"13440 Jakarta, Indonesia"
188,PONDOK KELAPA,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13450,-6.22470543633319,106.917013936806,"13450 Jakarta, Indonesia"
189,MALAKA JAYA,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13460,-6.22488050429208,106.934054200143,"13460 Jakarta, Indonesia"
190,MALAKA SARI,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13460,-6.22488050429208,106.934054200143,"13460 Jakarta, Indonesia"
191,PONDOK KOPI,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,13460,-6.22488050429208,106.934054200143,"13460 Jakarta, Indonesia"
193,KRAMAT JATI,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13510,-6.26978022815706,106.865577155025,"13510 Jakarta, Indonesia"
194,BATUAMPAR,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13520,-6.26331864003645,106.863899461139,"13520 Jakarta, Indonesia"
195,BALEKAMBANG,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13530,-6.28108975336839,106.851798207201,"13530 Jakarta, Indonesia"
196,KAMPUNG TENGAH,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13540,-6.28608977285581,106.869730098458,"13540 Jakarta, Indonesia"
197,DUKUH,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13550,-6.29181195,106.87577555,"13550 Jakarta, Indonesia"
198,PINANG RANTI,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13560,-6.29254538625828,106.877197785317,"13560 Jakarta, Indonesia"
199,MAKASAR,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13570,-6.272073125,106.877879725,"13570 Jakarta, Indonesia"
200,HALIM PERDANA KUSUMAH,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13610,-6.25249049142316,106.887285406192,"13610 Jakarta, Indonesia"
201,CIPINANG MELAYU,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13620,-6.26242769068133,106.891281743206,"13620 Jakarta, Indonesia"
202,CAWANG,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13630,-6.25303325477308,106.870180138787,"13630 Jakarta, Indonesia"
203,CILILITAN,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13640,-6.26403067333419,106.866027102269,"13640 Jakarta, Indonesia"
204,KEBON PALA,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,13650,-6.2672191,106.8793434,"13650 Jakarta, Indonesia"
205,PEKAYON,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13710,-8.7996802,115.1506101,"13710 Jakarta, Indonesia"
206,CIBUBUR,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13720,-6.36236125988868,106.890956667284,"13720 Jakarta, Indonesia"
207,KELAPA DUA WETAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13730,-8.7996802,115.1506101,"13730 Jakarta, Indonesia"
208,CIRACAS,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13740,-6.32642543743258,106.879494794934,"13740 Jakarta, Indonesia"
209,SUSUKAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13750,-8.7996802,115.1506101,"13750 Jakarta, Indonesia"
210,GEDONG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13760,-6.29903120979939,106.85953015983,"13760 Jakarta, Indonesia"
211,CIJANTUNG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13770,-6.31307600768223,106.860689277655,"13770 Jakarta, Indonesia"
212,BARU,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13780,-8.7996802,115.1506101,"13780 Jakarta, Indonesia"
213,KALISARI,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,13790,-6.33277871776796,106.857442823574,"13790 Jakarta, Indonesia"
214,LUBANG BUAYA,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13810,-6.28951243650278,106.89865317629,"13810 Jakarta, Indonesia"
215,CEGER,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13820,-6.3030413,106.8919429,"13820 Jakarta, Indonesia"
216,RAMBUTAN,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,13830,-8.7996802,115.1506101,"13830 Jakarta, Indonesia"
217,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13840,-6.3059999,106.9137103,"13840 Jakarta, Indonesia"
218,MUNJUL,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13850,-6.35340976442226,106.90291828523,"13850 Jakarta, Indonesia"
219,PONDOK RANGON,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13860,-8.7996802,115.1506101,"13860 Jakarta, Indonesia"
220,CILANGKAP,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13870,-8.7996802,115.1506101,"13870 Jakarta, Indonesia"
221,SETU,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13880,-6.30282695,106.88603985,"13880 Jakarta, Indonesia"
222,BAMBU APUS,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,13890,-6.3121683,106.89613495,"13890 Jakarta, Indonesia"
223,CAKUNG BARAT,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13910,-6.1802046,106.9445434,"13910 Jakarta, Indonesia"
224,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13910,-6.1802046,106.9445434,"13910 Jakarta, Indonesia"
225,RAWA TERATE,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13920,-6.18462414737768,106.922095125424,"13920 Jakarta, Indonesia"
226,JATINEGARA,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13930,-6.22912835693266,106.869626621141,"13930 Jakarta, Indonesia"
227,PENGGILINGAN,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13940,-6.20558593333333,106.9390487,"13940 Jakarta, Indonesia"
228,PULO GEBANG,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13950,-6.20313154935856,106.950048757791,"13950 Jakarta, Indonesia"
229,UJUNG MENTENG,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,13960,-8.7996802,115.1506101,"13960 Jakarta, Indonesia"
230,KALI BARU,CILINCING,JAKARTA UTARA,DKI JAKARTA,14110,-8.7996802,115.1506101,"14110 Jakarta, Indonesia"
231,CILINCING,CILINCING,JAKARTA UTARA,DKI JAKARTA,14120,-6.10734313947092,106.937009033664,"14120 Jakarta, Indonesia"
232,SEMPER BARAT,CILINCING,JAKARTA UTARA,DKI JAKARTA,14130,-6.1092778,106.9174728,"14130 Jakarta, Indonesia"
233,SEMPER TIMUR,CILINCING,JAKARTA UTARA,DKI JAKARTA,14130,-6.1092778,106.9174728,"14130 Jakarta, Indonesia"
234,ROROTAN,CILINCING,JAKARTA UTARA,DKI JAKARTA,14140,-6.15778577037427,106.94911709476,"14140 Jakarta, Indonesia"
235,SUKAPURA,CILINCING,JAKARTA UTARA,DKI JAKARTA,14140,-6.15778577037427,106.94911709476,"14140 Jakarta, Indonesia"
236,MARUNDA,CILINCING,JAKARTA UTARA,DKI JAKARTA,14150,-8.7996802,115.1506101,"14150 Jakarta, Indonesia"
237,KOJA (UTARA  SELATAN),KOJA,JAKARTA UTARA,DKI JAKARTA,14210,-6.1245207,106.8991968,"14210 Jakarta, Indonesia"
238,RAWA BADAK SELATAN,KOJA,JAKARTA UTARA,DKI JAKARTA,14230,-6.12889390503808,106.9000470484,"14230 Jakarta, Indonesia"
239,RAWA BADAK UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,14230,-6.12889390503808,106.9000470484,"14230 Jakarta, Indonesia"
240,KELAPA GADING BARAT,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14240,-6.17628547817382,106.958650193312,"14240 Jakarta, Indonesia"
241,KELAPA GADING TIMUR,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14240,-6.17628547817382,106.958650193312,"14240 Jakarta, Indonesia"
242,PEGANGSAAN DUA,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14250,-6.16773378909766,106.91648336655,"14250 Jakarta, Indonesia"
243,TUGU SELATAN,KOJA,JAKARTA UTARA,DKI JAKARTA,14260,-6.12839849330422,106.910700779039,"14260 Jakarta, Indonesia"
244,TUGU UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,14260,-6.12839849330422,106.910700779039,"14260 Jakarta, Indonesia"
245,LAGOA,KOJA,JAKARTA UTARA,DKI JAKARTA,14270,-6.114828425,106.905037425,"14270 Jakarta, Indonesia"
246,TANJUNG PRIOK,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14310,-6.11508761492968,106.884517993395,"14310 Jakarta, Indonesia"
247,KEBON BAWANG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14320,-6.13689939832638,106.888272179177,"14320 Jakarta, Indonesia"
248,SUNGAI BAMBU,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14330,-8.7996802,115.1506101,"14330 Jakarta, Indonesia"
249,PAPANGGO,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14340,-6.13411172310151,106.872702746037,"14340 Jakarta, Indonesia"
250,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350,-6.14009382030808,106.866244702267,"14350 Jakarta, Indonesia"
251,SUNTER JAYA,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14360,-6.1407273,106.8840361,"14360 Jakarta, Indonesia"
252,WARAKAS,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14370,-8.7996802,115.1506101,"14370 Jakarta, Indonesia"
253,PADEMANGAN TIMUR,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14410,-6.1340265,106.84593430155,"14410 Jakarta, Indonesia"
254,PADEMANGAN BARAT,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14420,-6.13761759211072,106.834643901165,"14420 Jakarta, Indonesia"
255,ANCOL,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14430,-6.12981021324148,106.839169984024,"14430 Jakarta, Indonesia"
256,PENJARINGAN,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14440,-6.12579741475257,106.790618074438,"14440 Jakarta, Indonesia"
257,PEJAGALAN,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14450,-6.1397643,106.7931004,"14450 Jakarta, Indonesia"
258,PLUIT,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14450,-6.1397643,106.7931004,"14450 Jakarta, Indonesia"
259,KAPUK MUARA,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14460,-6.12018002423687,106.759266894799,"14460 Jakarta, Indonesia"
260,KAMAL MUARA,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14470,-6.11638847993226,106.753142058026,"14470 Jakarta, Indonesia"
261,PULAU UNTUNG JAWA,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,14510,-8.7996802,115.1506101,"14510 Jakarta, Indonesia"
262,PULAU PARI,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,14520,-5.8006074,106.5034195,"14520 Jakarta, Indonesia"
263,PULAU TIDUNG,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,14520,-5.8006074,106.5034195,"14520 Jakarta, Indonesia"
264,PULAU PANGGANG,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,14530,-8.7996802,115.1506101,"14530 Jakarta, Indonesia"
265,PULAU HARAPAN,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,14540,-8.7996802,115.1506101,"14540 Jakarta, Indonesia"
266,PULAU KELAPA,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,14540,-8.7996802,115.1506101,"14540 Jakarta, Indonesia"
