,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,VenueID,Venue,Venue Latitude,Venue Longitude,Venue CatID,Venue Category,Venue Score
4000,SUNTER AGUNG,-6.14009382030808,106.866244702267,4c11c69ad917c9284266b662,Nest Reflexology,-6.138700721505568,106.86461899016913,52f2ab2ebcbc57f1066b8b3c,Massage Studio,7.9
4001,SUNTER AGUNG,-6.14009382030808,106.866244702267,56fbbe48498e0a3ce3226bd4,Pig Hunter,-6.138853247543029,106.86393209808782,4bf58dd8d48988d1c4941735,Restaurant,8.1
4002,SUNTER AGUNG,-6.14009382030808,106.866244702267,500a4d19e4b02b2a7edc3c9f,"Bakso Ikan Asli ""Alie""",-6.138494500095,106.8689980333936,4bf58dd8d48988d145941735,Chinese Restaurant,8.5
4003,SUNTER AGUNG,-6.14009382030808,106.866244702267,4cc03830020d4688a6dc6638,Sate Khas Senayan,-6.138651648156291,106.86456476944454,4deefc054765f83613cdba6f,Indonesian Restaurant,7.7
4004,SUNTER AGUNG,-6.14009382030808,106.866244702267,4d4bac901b6ea093eb6ea7d9,Bakmi Alot Kota Bunga,-6.1368485412168665,106.86617341879804,4bf58dd8d48988d1d1941735,Noodle House,8.2
4005,SUNTER AGUNG,-6.14009382030808,106.866244702267,4bbdd3eda8cf76b0fc30b2fd,Bebek Kaleyo,-6.138411990911337,106.86693363652806,4deefc054765f83613cdba6f,Indonesian Restaurant,7.5
4006,SUNTER AGUNG,-6.14009382030808,106.866244702267,4e4f700945ddff0031c00166,Total Buah Segar,-6.138868161702353,106.8630731481304,52f2ab2ebcbc57f1066b8b1c,Fruit & Vegetable Store,8.2
4007,SUNTER AGUNG,-6.14009382030808,106.866244702267,4ecc920b0e611503509f306c,Kedai Gentong Ice Cream,-6.137958583218941,106.86816009812561,4bf58dd8d48988d1d0941735,Dessert Shop,7.8
4008,SUNTER AGUNG,-6.14009382030808,106.866244702267,4c5eb1f5bfa59521bac28dff,Kuotie Shantung Sunter,-6.138587449741634,106.8660104663946,4bf58dd8d48988d142941735,Asian Restaurant,7.3
4009,SUNTER AGUNG,-6.14009382030808,106.866244702267,4bf9d7be5ec320a122f48ad3,Bakmie Metro,-6.136283320746794,106.86602283482496,4bf58dd8d48988d1d1941735,Noodle House,8.0
4010,SUNTER AGUNG,-6.14009382030808,106.866244702267,4bca97ea3740b713d5396165,Dapur Solo,-6.137920788395206,106.86847293784514,52960eda3cf9994f4e043ac7,Javanese Restaurant,7.5
